2019-04-22 09:35:16,185 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-22 09:35:16,296 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(34) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-04-22 09:35:17,170 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(49) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MaterialSkin表示設定
2019-04-22 09:35:17,176 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(62) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MDIコンテナ表示設定
2019-04-22 09:35:17,458 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\TableListForm.cs(40) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-04-22 09:35:17,908 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\HospitalListForm.cs(38) INTEC.Med.MasterManager.VIEW.HospitalListForm .ctor -  TableListForm Initialize
2019-04-22 09:35:18,086 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(83) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - Propertyからウィンドウサイズの取得・設定
2019-04-22 09:35:18,118 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(118) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7051.17237 表示
2019-04-22 09:35:36,206 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-04-22 09:35:45,413 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-22 09:35:45,570 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(34) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-04-22 09:35:46,132 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(49) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MaterialSkin表示設定
2019-04-22 09:35:46,132 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(62) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MDIコンテナ表示設定
2019-04-22 09:35:46,351 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\TableListForm.cs(40) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-04-22 09:35:47,819 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\HospitalListForm.cs(38) INTEC.Med.MasterManager.VIEW.HospitalListForm .ctor -  TableListForm Initialize
2019-04-22 09:35:47,858 [1] [DEBUG] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(83) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - Propertyからウィンドウサイズの取得・設定
2019-04-22 09:35:47,888 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(118) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7051.17237 表示
2019-04-22 09:37:05,539 [1] [INFO ] MasterManager, Version=1.0.7051.17237, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-04-22 09:38:02,431 [1] [INFO ] MasterManager, Version=1.0.7051.17331, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-22 09:38:02,532 [1] [INFO ] MasterManager, Version=1.0.7051.17331, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(34) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-04-22 09:38:03,434 [1] [DEBUG] MasterManager, Version=1.0.7051.17331, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(49) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MaterialSkin表示設定
2019-04-22 09:38:03,436 [1] [DEBUG] MasterManager, Version=1.0.7051.17331, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(62) INTEC.Med.MasterManager.VIEW.MainMDIForm ArrangeForm - MDIコンテナ表示設定
